,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,iteration
0,1.8729,0.64589,2.1971,0.15605,1.1414,0.94126,2.9566,0.57608,1.921,0.16321,0.32764,0.15165,0.2653,4.4449,2.2885,2.7968,5.6628,3.7264,0.42063,0.20351,8.5743,2.0312,9.6529,2.5239,0.36893000000000004,8.3184,3.7365,2.4822,0.1046,2.1877,0.2689,0.25049,0.38925,0.5795600000000001,0.32042,0.38500999999999996,0.40383,0.25359,1.8375,3.2472,0.83349,0.41408,1.2858,0.17527,5.159,2.4826,0.33543,6.4412,0.08796799999999999,6.7946,0.066479,0.1215,10.764000000000001,9
1,1.7712,0.5817,2.8191,0.18847,1.0493,1.0151,3.2145,0.51651,0.73802,0.18511,0.26269000000000003,0.17303,0.39287,3.11,1.4335,1.8745,6.0346,4.446000000000001,0.36491,0.20704,9.1191,4.5549,10.722000000000001,2.5857,0.81607,8.6886,5.1504,1.9019,0.1057,0.98144,0.29344000000000003,0.28358,0.39125,0.80637,0.6002,0.48163999999999996,0.36175999999999997,1.0311,2.0989,2.1762,3.4317,0.44056999999999996,1.7065,0.23271,10.011000000000001,0.85567,-0.047655,16.29,0.14664000000000002,8.1363,0.094171,0.18925,7.4785,9
2,0.74742,1.2196,3.17,0.19897,0.919,0.44566999999999996,6.4513,0.7416699999999999,1.584,0.27388,0.24844000000000002,0.08408,0.35724,3.7844,0.85055,2.2908,5.8985,1.4344,0.5101,0.20074,6.3449,2.048,12.32,2.3831,0.42822,0.8493200000000001,3.3168,1.3234,0.17881,1.6538,0.13255,0.29581999999999997,0.31648000000000004,0.59695,0.37251999999999996,0.56198,0.38656,0.92979,0.71116,2.1788,0.23225,0.39387,1.4831,0.34023000000000003,10.823,1.3166,-0.10941,15.055,0.097169,6.8838,0.10344,0.12745,7.7673,9
3,0.83914,0.55475,3.8107,0.139,1.8351,1.5582,5.5465,0.69989,2.9857,0.31066,0.43504,0.060738,0.26156,4.4384,2.7817,3.0453,6.0112,3.8618,1.1382,0.20903000000000002,5.4617,4.0482,8.0568,2.3038,0.60874,4.6743,3.0495,1.23,0.19795,1.4641,0.16222,0.2807,0.35607,0.9408200000000001,0.30993000000000004,1.0362,0.4477,0.61164,1.7206,3.3813,2.4621,0.45932,0.9027200000000001,0.17182999999999998,6.409,0.94989,0.09478500000000001,10.208,0.1247,5.858,0.14803,0.25128,8.963,9
4,1.9328,0.68191,2.1583,0.331,1.1231,1.4793,3.5115,0.5238,1.484,0.22724,0.3656,0.14064000000000002,0.39087,5.8765,1.0776,1.8968,5.7073,3.2517,0.42123999999999995,0.21048000000000003,7.8196,6.2989,16.5,2.5706,1.4145,5.5226,2.1102,2.1859,0.14762,1.5143,0.36385,0.28003,0.42431,0.59938,0.35913,1.0592,0.30871,0.31889,1.1312,3.3859,2.4659,0.47695,1.0226,0.056701,9.5689,1.3228,1.2245,13.9,0.14517,7.3043,0.14101,0.2656,7.6496,9
5,0.79624,0.7305,2.0431,0.16875,1.4952,1.5914,4.1369,0.38727,2.6742,0.18414,0.29874,0.14548,0.2643,4.2205,2.7667,1.8638,5.8867,2.7754,0.44666000000000006,0.22336,8.4944,3.3745,5.843999999999999,2.3833,0.769,11.693,6.0229,0.6079899999999999,0.19185,0.3917,0.22326,0.25015,0.33791,1.2146,0.22446999999999998,1.129,0.41635,0.72077,1.9735,2.6924,2.4167,0.45593,0.4697,0.098414,10.969000000000001,1.5544,2.2451,12.289000000000001,0.1476,5.4658,0.098342,0.3708,12.495999999999999,9
6,2.3195,0.6136699999999999,2.7379,0.26037,0.89738,0.59134,5.2441,0.48494,2.2569999999999997,0.16851,0.26259,0.19780999999999999,0.41367,3.7438,1.4605,1.9833,5.1396,2.6101,0.5918100000000001,0.21086999999999997,8.3759,5.9677,15.279000000000002,2.3519,0.71918,2.4805,0.40686,1.8619,0.19642,2.2559,0.15177000000000002,0.3069,0.42999,1.0857,0.26681,0.65091,0.39414,0.9804299999999999,1.0019,1.8373,2.6409,0.39114,1.6972,0.11285999999999999,14.062999999999999,0.90141,0.5011399999999999,8.9343,0.090803,6.0535,0.092262,0.26276,13.123,9
7,1.7316,0.5555899999999999,3.0944,0.14009000000000002,1.1324,1.1653,4.6803,0.6149100000000001,0.27763000000000004,0.29569,0.48626,0.18329,0.22005999999999998,4.5324,2.022,2.1937,5.7559,2.1582,0.9306399999999999,0.21248000000000003,6.8635,3.0,10.307,2.4993,0.35107,4.3171,2.8016,0.8062600000000001,0.16418,1.1607,0.27664,0.26116999999999996,0.41843,1.0494,0.21783000000000002,1.1586,0.38555,0.62161,1.0959999999999999,1.2944,1.3848,0.47348999999999997,1.4769,0.22405,13.729000000000001,2.6088,1.7029,9.331,0.15545,5.9136,0.12603,0.17512,11.957,9
8,1.2174,1.176,2.8923,0.14831,1.2413,1.5726,6.5193,0.38587,0.99145,0.24327,0.28343,0.052092999999999993,0.3053,3.6857,2.9852,1.3847,6.6773,1.7625,0.62256,0.1969,7.2342,4.3457,4.7801,2.5676,0.14884,15.07,3.3139999999999996,0.96336,0.19902,0.61678,0.28045,0.27139,0.38248000000000004,1.1538,0.21189000000000002,0.9302600000000001,0.37713,0.47458999999999996,2.0575,3.4457,0.73679,0.45527,1.2189,0.14927,9.4592,1.8753,0.9395600000000001,13.623,0.14337,6.9889,0.14215,0.24431999999999998,11.487,9
9,1.8862,1.0451,2.2602,0.22816,1.0249,1.5637,4.9629,0.37135999999999997,0.8327600000000001,0.28661,0.36789,0.18600000000000003,0.34922,3.9307,1.6776,1.8051,5.7168,2.4302,0.5714600000000001,0.19777999999999998,7.702000000000001,11.097000000000001,11.99,2.5358,0.86418,3.1183,1.3216,1.2331,0.097651,1.4932,0.081811,0.27907,0.30794,0.7763100000000001,0.33984000000000003,1.0677,0.36663,0.65459,1.5882,1.5427,2.3094,0.4372,1.6889,0.29257,4.8167,2.0496,1.1191,9.9731,0.076265,6.6332,0.1156,0.2034,6.9761,9
