,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,iteration
0,1.4817,0.3048,1.8969999999999998,0.19018,1.25,1.1027,4.2225,0.37656,0.81762,0.16788,0.36506,0.099959,0.29238000000000003,3.3869,0.8392200000000001,1.5625,5.2079,2.3796,0.78451,0.1224,6.586,4.822,8.0243,2.6094,0.86746,7.4222,1.5087,0.95083,0.14309000000000002,1.1471,0.14382,0.35629,0.64984,0.74021,0.24950999999999998,0.67389,0.20814000000000002,0.20723000000000003,2.2439,2.2447,1.0479,0.24511,0.77272,0.11877,4.605,1.9646,1.4402,17.471,0.14903,7.446000000000001,0.089653,0.14397000000000001,10.595999999999998,9
1,1.3251,1.2138,1.9695,0.30199000000000004,0.8212299999999999,0.9219700000000001,6.1448,0.42557,1.1422,0.3322,0.39313000000000003,0.14894000000000002,0.24455,4.6927,1.8328,2.6317,5.8422,5.1208,0.47525,0.21249,6.5436,1.666,9.1384,2.2808,0.52457,5.4944,1.8878,0.8642299999999999,0.24645999999999998,0.69485,0.27867,0.18452000000000002,0.56807,0.8479700000000001,0.3564,0.88656,0.12650999999999998,0.58812,1.7796,1.8419,2.1646,0.31386,1.4349,0.18156,9.7965,2.4626,1.554,15.064,0.16,6.1346,0.07257100000000001,0.32018,9.6037,9
2,1.0203,0.76097,1.5917,0.27109,1.1832,1.1538,5.5503,0.26968000000000003,0.76298,0.11255,0.28035,0.1736,0.4557,5.0214,1.0393,1.9524,5.456,2.6848,0.43816000000000005,0.24966,6.6161,1.9351,6.9347,2.7056,0.27162,7.6138,1.2551,1.6188,0.19297,0.74841,0.18245,0.29478000000000004,0.35905,1.0619,0.22626,1.0107,0.16282,0.18339,0.68826,1.669,0.83811,0.31459000000000004,1.1641,0.15489,7.4815,2.0971,0.5316,15.409,0.12563,7.106,0.12849000000000002,0.33799999999999997,5.9779,9
3,1.6924,0.46623000000000003,2.6549,0.29134,1.1337,1.0424,5.454,0.3877,1.5231,0.32761999999999997,0.31872,0.13253,0.24175,3.5173,1.0148,2.502,4.9627,1.5684,0.82325,0.22299000000000002,11.377,3.1102,7.5948,2.157,1.7443,6.1117,2.9203,0.98803,0.33558000000000004,0.8799600000000001,0.11942,0.27384000000000003,0.29713,1.0004,0.43596999999999997,0.83291,0.16965999999999998,0.62235,1.0681,2.9513,3.5385,0.24428000000000002,1.9531,0.12675999999999998,7.9182,1.5908,1.0924,9.6884,0.15386,6.6802,0.16638,0.38498000000000004,9.8586,9
4,2.7252,0.5956,1.7029,0.18891,1.0065,0.98839,4.303,0.8705799999999999,2.5929,0.13165,0.29220999999999997,0.10575999999999999,0.40585,5.4727,1.9808,1.6373,5.4125,1.5391,0.60677,0.19829000000000002,15.33,4.0951,5.8928,2.8227,0.66613,5.4298,1.7511,0.8766299999999999,0.078799,0.43995,0.12399,0.26694,0.52366,1.0363,0.68524,0.64318,0.29439,0.45316999999999996,1.0677,2.3114,1.1344,0.40745,1.8153,0.12754000000000001,8.297,2.8837,1.6733,8.6712,0.17187,6.0183,0.087046,0.23003,6.4599,9
5,1.5558,0.8654700000000001,2.3623,0.26482,0.8025800000000001,1.1752,6.4805,0.38709,1.3837,0.25016,0.26086,0.058101,0.3465,8.0297,2.1131,1.7762,5.9455,1.5164,0.86977,0.23388,5.6984,4.3335,14.165,2.807,0.73757,7.3461,7.8182,3.2341,0.49785,0.52035,0.12744,0.32704,0.30251,1.0439,0.37229,1.4273,0.33637,1.5844,1.0095,1.3558,4.0142,0.25856,1.2109999999999999,0.14787,14.718,1.4686,1.246,14.727,0.15893,6.7438,0.096639,0.53049,12.231,9
6,1.7031,0.31139,1.8893,0.12685,1.0467,0.7219899999999999,4.471,0.38642,1.2475,0.28184000000000003,0.29943000000000003,0.11599000000000001,0.34867,2.3347,0.90317,3.0589,6.0033,1.9107,0.53672,0.22571999999999998,7.1482,1.9432,9.666,3.4934,0.56406,8.102,2.1757,1.3574,0.22465,1.1885,0.49238999999999994,0.26942,0.27181,0.99802,0.27164,0.53508,0.41443,0.34931,1.3615,3.9519,2.2493,0.32824000000000003,2.5722,0.13833,10.029,3.0101,1.6905,10.546,0.15804,6.4854,0.091826,0.22621,9.9355,9
7,1.8319,0.64913,2.7841,0.16544,1.3045,2.0579,4.7469,0.5827399999999999,1.5764,0.28306,0.40915,0.17247,0.31872,6.3838,0.98808,1.1456,5.657,2.6014,0.42541,0.21081,6.9037,3.7122,9.7972,2.5182,0.98334,9.6495,2.5255,1.5576,0.17393,0.76653,0.082359,0.27236,0.47651000000000004,1.1449,0.48263999999999996,0.64422,0.17717,0.23173000000000002,2.209,3.6671,1.3892,0.24693,1.2978,0.14129,12.876,1.5351,0.8906799999999999,6.9525,0.11695,6.906000000000001,0.10073,0.25536,13.24,9
8,1.3611,0.47434,3.5995,0.39034,0.723,1.2178,7.5266,0.63362,0.81482,0.14303,0.44453000000000004,0.13024000000000002,0.24270999999999998,3.1683,0.88375,1.6574,5.3302,2.1889,0.33416,0.14920999999999998,14.05,4.843999999999999,8.4041,2.1354,0.5095,3.0874,2.8868,1.0542,0.21144000000000002,0.7551899999999999,0.37226,0.2584,0.39132,1.0791,0.61454,0.91069,0.40664,0.7297399999999999,2.0408,2.3434,2.2553,0.37454,1.5953,0.24085,8.1357,1.9049,1.7380000000000002,9.9524,0.082327,7.7357,0.14718,0.22058000000000003,10.474,9
9,1.1384,0.5130600000000001,2.0026,0.19605,0.71686,1.5393,4.4344,0.60719,1.2874,0.19014,0.84729,0.1195,2.917,5.67,1.3678,1.3618,5.9685,1.7874,0.38850999999999997,0.15754,5.0194,4.1851,8.6083,2.2888,0.45552,5.2049,3.8862,1.1169,0.21445999999999998,0.71558,0.27521,0.24431,0.62745,0.8668799999999999,0.6348600000000001,0.54405,0.23139,0.5319,1.1758,2.0938,1.2117,0.49106000000000005,1.5521,0.29799000000000003,11.805,0.96641,1.0788,14.147,0.17425,9.4651,0.1155,0.5038699999999999,8.7569,9
